time,ballX,ballY,shoulderLangle,shoulderRangle,shoulderLTransv,shoulderRTransv,elbowLangle,elbowRangle,hipLangle,hipRangle,kneeLangle,kneeRangle,l_shoulderX,l_shoulderY,l_shoulderZ,r_shoulderX,r_shoulderY,r_shoulderZ,l_elbowX,l_elbowY,l_elbowZ,r_elbowX,r_elbowY,r_elbowZ,l_wristX,l_wristY,l_wristZ,r_wristX,r_wristY,r_wristZ,l_hipX,l_hipY,l_hipZ,r_hipX,r_hipY,r_hipZ,l_kneeX,l_kneeY,l_kneeZ,r_kneeX,r_kneeY,r_kneeZ,l_ankleX,l_ankleY,l_ankleZ,r_ankleX,r_ankleY,r_ankleZ
193158,11.861, -12.000,18,18,13,50,31,46,14,13,30,18,-0.093, 0.514, 0.096,0.216, 0.441, 0.065,-0.170, 0.297, 0.085,0.238, 0.202, 0.032,-0.220, 0.100, 0.197,0.311, 0.046, 0.150,-0.111, 0.006, 0.010,0.112, -0.006, -0.011,-0.096, -0.384, 0.037,0.086, -0.389, -0.011,-0.138, -0.712, -0.117,0.045, -0.739, -0.128
193158,12.375, -12.000,18,18,18,62,31,47,16,15,29,18,-0.093, 0.506, 0.120,0.221, 0.440, 0.100,-0.171, 0.289, 0.100,0.242, 0.202, 0.051,-0.220, 0.082, 0.204,0.320, 0.046, 0.158,-0.111, 0.007, 0.009,0.112, -0.006, -0.011,-0.097, -0.384, 0.036,0.073, -0.389, -0.008,-0.136, -0.714, -0.112,0.025, -0.740, -0.125
193158,12.511, -12.000,19,18,19,63,31,47,17,16,28,18,-0.093, 0.504, 0.126,0.222, 0.439, 0.109,-0.171, 0.286, 0.104,0.244, 0.202, 0.059,-0.220, 0.078, 0.206,0.322, 0.045, 0.162,-0.111, 0.007, 0.009,0.112, -0.006, -0.010,-0.097, -0.384, 0.035,0.070, -0.389, -0.007,-0.135, -0.714, -0.110,0.022, -0.741, -0.123
193158,12.646, -12.000,20,19,18,59,28,49,17,14,31,22,-0.091, 0.504, 0.148,0.225, 0.437, 0.118,-0.171, 0.285, 0.130,0.244, 0.196, 0.076,-0.220, 0.076, 0.223,0.325, 0.042, 0.199,-0.111, 0.007, 0.010,0.112, -0.006, -0.012,-0.097, -0.387, 0.023,0.055, -0.383, -0.030,-0.138, -0.714, -0.153,-0.019, -0.707, -0.184
193158,13.012, -12.000,21,18,17,64,28,50,17,11,32,22,-0.086, 0.508, 0.150,0.230, 0.437, 0.115,-0.171, 0.286, 0.134,0.244, 0.193, 0.073,-0.219, 0.077, 0.228,0.331, 0.039, 0.195,-0.111, 0.007, 0.012,0.112, -0.007, -0.013,-0.097, -0.389, 0.018,0.051, -0.381, -0.050,-0.139, -0.714, -0.172,-0.027, -0.696, -0.217
193158,13.014, -12.000,21,20,14,68,28,52,14,13,28,20,-0.082, 0.508, 0.154,0.237, 0.425, 0.135,-0.170, 0.285, 0.136,0.248, 0.182, 0.104,-0.217, 0.074, 0.228,0.331, 0.035, 0.237,-0.111, 0.009, 0.009,0.112, -0.008, -0.011,-0.097, -0.391, -0.010,0.035, -0.381, -0.047,-0.140, -0.714, -0.195,-0.029, -0.700, -0.206
193158,13.035, -12.000,21,21,14,72,29,52,14,13,27,20,-0.078, 0.508, 0.152,0.242, 0.421, 0.140,-0.169, 0.285, 0.132,0.251, 0.179, 0.109,-0.216, 0.073, 0.227,0.332, 0.033, 0.242,-0.111, 0.010, 0.007,0.112, -0.009, -0.008,-0.098, -0.392, -0.012,0.032, -0.384, -0.044,-0.140, -0.716, -0.189,-0.027, -0.702, -0.198
193158,12.759, -12.000,22,23,13,69,29,51,14,15,29,19,-0.075, 0.508, 0.160,0.243, 0.411, 0.149,-0.168, 0.284, 0.140,0.251, 0.168, 0.125,-0.213, 0.070, 0.233,0.327, 0.022, 0.267,-0.111, 0.012, 0.006,0.111, -0.011, -0.007,-0.084, -0.392, -0.033,0.031, -0.392, -0.043,-0.092, -0.702, -0.242,-0.023, -0.721, -0.196
193158,12.619, -12.000,21,24,14,64,29,51,14,17,29,18,-0.073, 0.507, 0.162,0.242, 0.403, 0.154,-0.166, 0.282, 0.140,0.251, 0.161, 0.135,-0.210, 0.067, 0.231,0.324, 0.018, 0.279,-0.110, 0.013, 0.003,0.111, -0.012, -0.005,-0.083, -0.393, -0.039,0.030, -0.393, -0.030,-0.085, -0.699, -0.253,-0.021, -0.726, -0.169
193158,12.473, -12.000,21,23,16,64,31,52,15,16,27,19,-0.070, 0.507, 0.161,0.243, 0.403, 0.149,-0.162, 0.281, 0.137,0.253, 0.157, 0.126,-0.198, 0.065, 0.230,0.322, 0.016, 0.269,-0.110, 0.013, 0.003,0.111, -0.012, -0.004,-0.079, -0.397, -0.036,0.031, -0.395, -0.029,-0.069, -0.705, -0.233,-0.008, -0.728, -0.169
